Item Name,Sentiment,Review
Jack Links Jerky,1,"It is a bit oily and spicy for me to eat more than 1 at one sitting. It is a good snack to eat here and there. I don't really notice a difference between this vs. spicy slim jims except that this is a bit more spicier. (I like both brands - of course, not the healthiest)"
Jack Links Jerky,1,Jack Link's Beef Sticks are so good. They are low in calories and carbs and have 6g of protein. They are great for a quick snack or a boost of energy. They are easy to carry and fit in any bag or pocket.
Jack Links Jerky,1,"If you're looking at a box of these, you probably already know you want them. But in case you're not sure, here's my pitch: If you like beef sticks at all, then you absolutely need to try Jack Link's Original. This became my new favorite because it has a real meat flavor with a zesty tang, but not overly hot or salty. Some meat sticks taste like cardboard paste but not these. Unexpectedly, my wife, who normally shuns this sort of thing, found that she actually likes these. So I've had to buy more frequently than planned."
Jack Links Jerky,1,These are the best beef sticks ever! Great pricing as well!
Jack Links Jerky,1,It's a sugar-free sausage link. What more can I say? It's so good we can barely keep them in the house!
Jack Links Jerky,1,The teriyaki beef sticks are my favorite and they are 100% beef.
Jack Links Jerky,1,Good eating great value and great taste.
Jack Links Jerky,1,We’re an outdoorsy household and this take-along pick-me-up treat is a great addition to day-pack supplies on our frequent hiking adventures.
Jack Links Jerky,1,Hubby packs them in his lunch.
Jack Links Jerky,1,Throw in fridge to get a better taste and price is better than the store.
Jack Links Jerky,1,So much better than a Slim Jim! I finished the first box way too quickly! Yum!
Jack Links Jerky,1,The boys on my son’s baseball team devoured these snack sticks. Great high protein snack that really “hit home.”
Jack Links Jerky,1,Taste great.
Jack Links Jerky,1,I really like the taste. Not greasy. Put a couple in my lunch bag for work. Like them so much got them on auto ship.
Jack Links Jerky,1,"If you're aiming to reduce your sugar intake, Jack Link's Beef Sticks offer an excellent choice, not only for their affordability but also for their delightful taste. I've explored numerous so-called Keto sugar-free beef sticks, and they tend to be twice as expensive as these. The key difference I observed between these sugar-free and regular beef sticks is a minimal variance of 1 gram in sugar and carbohydrates. These lean slightly toward being saltier, and each stick falls just short of reaching 1 ounce by a mere 0.08 ounces."
Jack Links Jerky,1,I like the fact that these are zero sugar and relatively clean ingredients. We enjoy them while traveling and keep them around for a protein snack when we are traveling. Great taste easy snack!
Jack Links Jerky,1,"I recently discovered Jack Link's Beef Sticks, and they have become my go-to protein-packed snack. These beef sticks offer a convenient and flavorful option for those seeking a quick boost of protein on the go. I appreciate that Jack Link's Beef Sticks are made with quality ingredients and have no added MSG**. This gives me confidence in their nutritional value and ensures that I'm consuming a snack that aligns with my dietary preferences. The packaging of the beef sticks is convenient, with each stick individually wrapped. This makes it easy to grab one on the go or pack them in your bag for a quick and mess-free snack. The 0.92 oz. size is just right for a satisfying snack without feeling too heavy. With their high protein content, delicious flavor, and portable packaging, they are ideal for busy individuals looking for a quick and satisfying snack. If you're in need of a protein boost during the day, I highly recommend giving Jack Link's Beef Sticks a try."
Jack Links Jerky,1,I got these to stock up for emergency use & am happy to see the shelf date is 7-16-24! Opened 1 and omg they smell sooooo good and taste just as good so gonna order a couple more boxes from this seller!
Jack Links Jerky,1,The same as you would get at the store. I find it odd that they're loose in a box that could easily hold twice as many sticks. Maybe they should fill the box.
Jack Links Jerky,1,"Man loved them, didn’t last long."
Jack Links Jerky,1,Spicy and good. If you like spicy you should go for this one.
Jack Links Jerky,1,"It was actually very good, fresh, and came on time 👍🏻"
Jack Links Jerky,1,They are not very oily or very sweet they are a perfect blend and they have protein.
Jack Links Jerky,1,"I buy these to leave in my desk for an afternoon snack. The taste is good, package is nice. Little greasy on the fingertips, but nothing bad."
Jack Links Jerky,1,"Easy to go and grab. I pack in my husband's lunch, as well as my kids' lunches. Individually wrapped, and a good, quick, easy snack to-go."
Jack Links Jerky,1,You know you're going to want more than one; these large sticks are not one bit greasy and so full of flavor 😉 Priced to always keep on hand!
Jack Links Jerky,1,Fresh variety. Good taste.
Jack Links Jerky,1,I have tried a good number of beef sticks and this has become my favorite.
Jack Links Jerky,1,This is a great gift for Jerky lovers. Tastes great and a very great gift to give.
Jack Links Jerky,1,"If you like Jack Links beef sticks like we do, then you should get this box. There is enough to last us a little while and they are much cheaper to buy them in a box like this than individually. They are always fresh a nice snack."
Jack Links Jerky,1,"Tasty and fresh. I like it for a quick protein snack, especially since it has no sugar added. Tastes like the original version."
Jack Links Jerky,1,Arrived in good condition. Product was very tasty!
Jack Links Jerky,1,"I bought these for when I travel or am called into the ER in the middle of the night. I keep a few in my locker for when I end up being there for hours on end. They have a flavor I would call normal for beef sticks. My daughter likes beef sticks but not the cheese where you have both in a package. She thought that they were great but wondered why the ends were twisted where the others were flat. I explained the differences between the 2. She thought they were good also. These are a good choice for both adults & kids. Easy to grab & stick in locker, snack bag for traveling, park, etc."
Jack Links Jerky,1,"Liked everything about this item, and it’s great energy food too. When there's no more meat at the grocery store, these will make a mean meal replacement with water and even rice."
Jack Links Jerky,1,Good snack.
Jack Links Jerky,1,Love it.
Jack Links Jerky,1,Jack links beef sticks are hands down the best beef I have tried and I always pick up a beef stick or two when I’m out so I’ve tried all the ones that the stores near me stock. My order arrived earlier than expected and in good
Jack Links Jerky,1,Beef sticks are yummy. What can I say they are good.
Jack Links Jerky,1,"Great tasting Beef Jerky. These Jack link beef Jerkys are great, Love the taste. They don't taste processed and a little funny like some other brands I've tried, just smooth."
Jack Links Jerky,1,Great beef stick. Great flavor and portability. This product does it all.
Jack Links Jerky,1,Great product and fast shipment.
Jack Links Jerky,1,"Awesome taste, great snack!"
Jack Links Jerky,1,These are the best beef sticks that I have ever had.
Jack Links Jerky,1,Good product great treat.
Jack Links Jerky,1,Quick source of protein. We take these on our long car rides and we look for a good place to view nature and have these and 🧀 sharp cheddar.
Jack Links Jerky,1,"It's hot, just so you know. So I enjoy meatsnacks a great deal. Despite the ridiculous prices, and the ridiculous salt content. I can't help it. It's damn delicious. I was more of a slim jims guy, but seeing as their prices have gone through the roof when they are even available I've been trying more jacks links products. So should you get this one? First think you should know is that the heat is real. Now I like hot and spicy, I like it a lot, I think it tastes better than less spicy and the burn doesnt really bother me much. I've even had carolina reaper buffalo wings and I thought they tasted great. But no matter how much you may like the taste, or how much tolerance you may have for the heat, this is not the case with your insides. If you eat more than 2 or 3 of these Wild Heats at a time you are really gonna feel it making it's way through your digestive track."
Jack Links Jerky,1,"Yum! Easy to use, tastes great."
Jack Links Jerky,1,"Great beef sticks, better than my local gas stations. After visiting my local gas station to get beef sticks and they were all dried out, I ordered these. I expected them to be kinda meh but these are AMAZING. They don't expire for another 6 months which is ideal and they taste a lot better than the ones I get at the gas station near me. 10/10"
Jack Links Jerky,1,Great snack. Arrived fresh.
Jack Links Jerky,1,Good stuff.
Jack Links Jerky,1,"Finally, a product that is as spicy as they claim."
Jack Links Jerky,1,"Jack Link's are a new fave. I've purchased these to have an added source of protein in my diet via a snack option. These have been a great addition not only for the added protein but the flavors, the ease of being on the go with a healthy snack, and the convenience when a meal is just too much. I recommend having these on hand for adults and kids alike."
Jack Links Jerky,1,I was surprised they have good flavor for not having sugar in them. I like them better than the regular ones.
Jack Links Jerky,1,What else is there to say lol.
Jack Links Jerky,1,"I was craving spicy beef sticks, but they sell them very rarely at my local grocery, and these are pretty okay for the price. I ate a few per sitting at times. They feel a little hard, but biting into them is soft, texture isn't stringy or as chewy as I'd like. Has a decent amount of spice, it's been awhile since I finished these, maybe a level 4-6 on a scale of 10, depending on the person, it didn't make me reach for water."
Jack Links Jerky,1,"These are so good I've already ordered a second box! They make great snacks for anyone, but especially keto, since there is zero sugar in these. 6 grams of protein in each stick means one will keep me going between meals. They're delicious and don't last long in our house!"
Jack Links Jerky,1,I think it’s worth the buy. I love these.
Jack Links Jerky,1,Taste is fine with me and the price is good. I keep one or two in the car's glove box and always carry several on my motorcycle - which can be really handy if I get a little hungry riding out in the country.
Jack Links Jerky,1,These were purchased to give away to men at church on Father’s Day. Great value for the product!
Jack Links Jerky,1,Been getting a case of these beef sticks every 3 months for about a year as my 3 year old loves them as a snack. I can count on the quality of product to be there and the taste is great. Never had an issue with my orders.
Jack Links Jerky,1,Better than chicken nuggets. Keep a couple with me so when I miss lunch or dinner I can indulge. Jack Links Original appears to be better than gas station Slim Jims. They are not peppery and slide down the throat without having to drink water. Great idea to keep one with you and avoid a triple whopper craving.
Jack Links Jerky,1,My teenage son loves these for a quick protein snack at school! They taste great!
Jack Links Jerky,1,Then Jack links is a good buy!!
Jack Links Jerky,1,"I enjoyed this beef stick snack more than any other I have tried, they have easily become my pick of choice since. The quality of the product was high and the freshness superior by far to other products of similar type, I had other brands that had an expiration date that was two days after I received them but these were incredibly fresh and soft and comfortable to consume I'm impressed."
Jack Links Jerky,1,Great on the go snack with some protein. Kids love them. Stay good and fresh for quite a while. We were happy with the variety of flavors.
Jack Links Jerky,1,...then this item is for you. You get a whole box!
Jack Links Jerky,1,My teens love it on the go!
Pedigree Dog Food,1,Would definitely buy again. Quality seems to be great and my dog loves it. I mix it in with her dry dog food to give her extra protein.
Pedigree Dog Food,1,"My baby loves this food. I only buy Pedigree for my dog Apollo. He loves it. When I adopted him he was 5 months old and u could see his bones, now he just made a year so come January he will get the big dog, dog food."
Pedigree Dog Food,1,"Picky dog loves this food! I have a smallish dog - 15 pounds. She is very picky, but will eat this. The size portion is just right for her and even though I haven't tried it yet, these would really be handy for bringing along for doggie when traveling. Sturdy packaging. I like that more than one flavor is included in the box."
Pedigree Dog Food,1,My dog's breakfast. My dog gets half a pouch every morning with a half a pouch of moist in meaty mixed in and has no problems with this food she can't wait to get it of course I have to wake her up first never goes to waste.
Pedigree Dog Food,1,Good dog food. My dog deserves the best.
Pedigree Dog Food,1,Awesome. My chi gets 1/2 pouch a day… she loves them!
Pedigree Dog Food,1,My dogs love it. Just that my dogs loved it.
Pedigree Dog Food,1,Value. I like the product that is why I purchased... however ordered quanity 2 however only received quanity 1 CAN YOU HELP ME IN GETTING MY OTHER 1 AS I ALREADY PAYED FOR IT PLEASES AND THANK YOU :)
Pedigree Dog Food,1,Good. Good.
Pedigree Dog Food,1,"Happy Dog. My 15 yr Pom mix loves this high protein food. She acts like a puppy still. So if she likes it, that’s all that matters!"
Pedigree Dog Food,1,Good size for small dogs. I mix this ½ pouch with dry kibble and my dogs love all flavors.
Pedigree Dog Food,1,Consistency. Good value and individual pouch content. Good variety.
Pedigree Dog Food,1,"Great deal, dogs love it. Can't beat the price, especially when you live in the middle of nowhere."
Pedigree Dog Food,1,Big bag. My dog loves this kind of good.
Pedigree Dog Food,1,Good buy! Very good buy for my pitbull I add a topper to it just to mix up the flavor for her!
Pedigree Dog Food,1,Perfect for small dog. I have a 13 pound shih tzu Yorkie cross who has difficulty with hard kibble. We tried some canned brands which she didn’t like and some drier non kibble type food that also caused her to cough and go off her food (moist and meaty packets). This with the gravy is perfect combo! She loves it and one packet twice a day is helping her maintain her weight.
Pedigree Dog Food,1,I love the taste. Eat it up yum.
Pedigree Dog Food,1,My dogs LOvE it! 💕. My dogs love this dog food! We purchased the largest bag we could find on Amazon. We have 4 large dogs and they go through dog food like crazy! The shipping took a little longer but it was totally worth it. I can’t tug at large bags of dog food and having this delivered was perfect!
Pedigree Dog Food,1,Good dog food. Same as what I've purchased in other stores. Great item for your fur babies
Pedigree Dog Food,1,My grand dog loves it. I’m not sure how it taste but my grand dogs seem to really like it.
Pedigree Dog Food,1,"Dog food. My dog loves eating the same thing, every day."
Pedigree Dog Food,1,My dog loves it! My dog likes it!!!!!
Pedigree Dog Food,1,Good buy. It keeps my neighbors dogs happy 😛.
Pedigree Dog Food,1,Dogs LOVE this food. This food is nutritionally appropriate for my dogs. I have 3 GSPs n they are high energy and constantly on the go. Pedigree is a great food n my guys love it. I even have it as an additional treat food just to change things up for them. Either way Pedigree is a reputable brand n yes my dogs Love it !!!
Pedigree Dog Food,1,"Good price. Our dogs love it, very affordable and delivered to my doorstep."
Pedigree Dog Food,1,Dachshund Approved! My dog loved this. He’s a super picky dog but he seems to love these! Only thing is there’s not a lot per pouch.
Pedigree Dog Food,1,"Great taste, smells good. My husky is a picky eater. I mixed with her dry food and she loved it."
Pedigree Dog Food,1,Larger bag. I order the dog food because the price is good gor a good product. It is hard to find the larger bags at the local stores.
Pedigree Dog Food,1,Dig food. My Dolly loves this food.
Pedigree Dog Food,1,"Puppy. Puppy enjoys eating, it is soft and chunky. Can’t afford to feed him everyday but have had luck mixing one pouch soft with dry dog food. It take him all day but by morning he has eaten every bit."
Pedigree Dog Food,1,Dog loves. Came in fast my dog loves them.
Pedigree Dog Food,1,Best bachelor chow for the money. Good as a light snack or add some warm milk for a decent hot meal :) oh my dog likes it too...but if you've seen what else he eats...
Pedigree Dog Food,1,"What's up with these prices?? Great brand, I'm an old school pet owner and loyal to Pedigree-BUT what in the hello-kitty is up with these prices lately?!! Seriously!"
Pedigree Dog Food,1,"Entire. It’s a pretty good amount for the price and it was well pack and clean. I recommend it 100% thank you, Amazon!"
Pedigree Dog Food,1,"Stick with what works. Once again amazon was late with their delivery. I think I will just stick with chewy, tractor supply, wally world at least they deliver when they say they will, and I'm not paying a membership fee every month."
Pedigree Dog Food,1,My dogs are picky eaters it's all they like. Good deal.
Pedigree Dog Food,1,Perfect. Not much to say. It's dog food... my dog actually wouldn't eat it but it's not anybody fault. She just prefers chicken over beef. The item was exactly what I ordered.
Pedigree Dog Food,1,Great job. On thank you.
Pub Mix,1,"SAVORY FLAVORS The Utz Pub Mix Barrel features a savory blend of honey mustard twistix, cheddar cheese twistix, honey mustard sesame chips, oriental rice crackers, pretzel stix, nacho bagel chips, and Worcestershire rye chips. PARTY SNACKS The combination of yummy flavors makes this the perfect party snack mix. Utz Pub Mix is easy and quick to prepare all you have to do is put it in a bowl and youll have a blend of savory, crunchy flavors. This mix is awesome"
Pub Mix,1,"I wanted to make Super Bowl Sunday special. Rather than just have chips , I wanted to have a good bar mix with my non-alcoholic beer. Utz makes a very flavorful mix which is not over salted. I had mine with a big chunk of sharp cheddar cheese and crunchy vegetables. I am definitely starting a subscription. And the containers are nice. I'm going to use them as waste buckets. #recycle!"
